Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Test),Inward issue link (Test),Outward issue link (Test),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Notifications notifications from user interactions User A sends a payment to User B,SCRUM-203,10234,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0018v:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Notifications notifications from user interactions User C comments on a transaction between User A and User B; User A and B get notifications that User C commented on their transaction,SCRUM-202,10233,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0018n:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Notifications notifications from user interactions User A comments on a transaction of User B; User B gets notification that User A commented on their transaction,SCRUM-201,10232,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0018f:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Notifications notifications from user interactions User C likes a transaction between User A and User B; User A and User B get notifications that User C liked transaction,SCRUM-200,10231,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00187:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Notifications notifications from user interactions User A likes a transaction of User B; User B gets notification that User A liked transaction ,SCRUM-199,10230,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0017z:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Notifications renders an empty notifications state,SCRUM-198,10229,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0017r:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
New Transaction searches for a user by attribute phoneNumber,SCRUM-197,10228,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0017j:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
New Transaction searches for a user by attribute email,SCRUM-196,10227,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0017b:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
New Transaction searches for a user by attribute username,SCRUM-195,10226,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00173:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
New Transaction searches for a user by attribute lastName,SCRUM-194,10225,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0016v:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
